StartDate,LongStock,LongStartPrice,ShortStock,ShortStartPrice,ClosingDate,LongClosingPrice,ShortClosingPrice,Status,GrossProfit,GrossProfitMinusOrderfees,ReturnRate,ReturnRatePA
165,CPT,123.3068466186523,PSA,314.6233825683594,212,106.2729721069336,264.3553771972656,Normally closed,10.81491575583522,8.750399626802958,0.008750399626802957,0.04782119360763071
166,CPT,121.5289535522461,PSA,313.0431823730469,212,106.2729721069336,264.3553771972656,Normally closed,14.99845862954906,12.9339425005168,0.0129339425005168,0.07293856179918512
167,CPT,122.0868988037109,PSA,319.6195373535156,212,106.2729721069336,264.3553771972656,Normally closed,21.68799441858295,19.62347828955069,0.01962347828955069,0.1149696147646346
168,CPT,119.8078231811523,PSA,315.0870361328125,212,106.2729721069336,264.3553771972656,Normally closed,24.01852591001954,21.95400978098728,0.02195400978098729,0.1324418880584934
169,CPT,123.0231094360352,PSA,321.1334533691406,212,106.2729721069336,264.3553771972656,Normally closed,20.32541956127464,18.26090343224239,0.01826090343224239,0.1118796985917727
170,CPT,123.817497253418,PSA,323.8870849609375,212,106.2729721069336,264.3553771972656,Normally closed,21.05362019271622,18.98910406368397,0.01898910406368397,0.1194823248042316
207,CPT,109.58984375,PSA,296.5371398925781,212,106.2729721069336,264.3553771972656,Normally closed,39.12950130193007,37.06498517289781,0.03706498517289782,5.26067199824103
208,CPT,110.1331024169922,PSA,294.8333740234375,212,106.2729721069336,264.3553771972656,Normally closed,34.16197478033739,32.09745865130513,0.03209745865130513,6.318206282143743
209,CPT,109.9901351928711,PSA,292.8249816894531,212,106.2729721069336,264.3553771972656,Normally closed,31.71426908358183,29.64975295454958,0.02964975295454958,10.63910668365305
251,PSA,262.7195129394531,CPT,106.3474349975586,284,286.40625,113.4289321899414,Normally closed,11.78573604823501,9.385736048235009,0.009385736048235008,0.07394483631095938
252,PSA,266.4852294921875,CPT,108.3364028930664,284,286.40625,113.4289321899414,Normally closed,13.87402918346612,11.47402918346612,0.01147402918346612,0.09400308756567721
254,PSA,265.191650390625,CPT,109.5374603271484,284,286.40625,113.4289321899414,Normally closed,22.23541801060191,19.83541801060191,0.01983541801060191,0.1793772899918578
275,PSA,289.4053955078125,CPT,118.8193283081055,284,286.40625,113.4289321899414,Normally closed,17.50159727985725,15.10159727985725,0.01510159727985725,0.5214802248784693
276,PSA,289.3766479492188,CPT,119.0883712768555,284,286.40625,113.4289321899414,Normally closed,18.62910232220787,16.22910232220787,0.01622910232220787,0.6604900533412061
289,CPT,110.2677230834961,PSA,286.4541625976562,332,107.9662246704102,283.2947692871094,Normally closed,-4.92129920260091,-6.987965869267576,-0.006987965869267576,-0.04026347801992902
290,CPT,107.5773239135742,PSA,283.3399963378906,332,107.9662246704102,283.2947692871094,Normally closed,1.887351145285557,-0.17931552138111,-0.00017931552138111,-0.001075410932742216
291,CPT,109.5374603271484,PSA,288.6388854980469,332,107.9662246704102,283.2947692871094,Normally closed,2.085304834538978,0.01863816787231132,1.863816787231132e-05,0.0001145620381766133
292,CPT,111.5840911865234,PSA,292.0787963867188,332,107.9662246704102,283.2947692871094,Normally closed,-1.174305813899437,-3.240972480566104,-0.003240972480566104,-0.02024357642702057
294,CPT,107.6349792480469,PSA,289.7120666503906,332,107.9662246704102,283.2947692871094,Normally closed,12.61404647767487,10.5473798110082,0.0105473798110082,0.07205726809504887
295,CPT,108.9417419433594,PSA,288.2938842773438,332,107.9662246704102,283.2947692871094,Normally closed,4.192928901868017,2.12626223520135,0.00212626223520135,0.01457133759885054
296,CPT,106.4531173706055,PSA,283.3399963378906,332,107.9662246704102,283.2947692871094,Normally closed,7.186729259941027,5.12006259327436,0.00512006259327436,0.03639567593284232
297,CPT,102.7250137329102,PSA,269.6952209472656,332,107.9662246704102,283.2947692871094,Normally closed,0.2980704302905437,-1.768596236376123,-0.001768596236376123,-0.01266429107216838
298,CPT,104.310417175293,PSA,277.4853820800781,332,107.9662246704102,283.2947692871094,Normally closed,7.055777437020271,4.989110770353605,0.004989110770353605,0.03757491405286051
299,CPT,103.9452896118164,PSA,278.5020446777344,332,107.9662246704102,283.2947692871094,Normally closed,10.7371240766542,8.67045740998753,0.00867045740998753,0.06814700406461593
300,CPT,102.9748229980469,PSA,279.3927917480469,332,107.9662246704102,283.2947692871094,Normally closed,17.253069097829,15.18640243116234,0.01518640243116233,0.1260252076478425
301,CPT,101.0242919921875,PSA,285.4926147460938,332,107.9662246704102,283.2947692871094,Normally closed,38.20695577473073,36.14028910806406,0.03614028910806406,0.3345596202761671
302,CPT,97.73817443847656,PSA,286.2769470214844,332,107.9662246704102,283.2947692871094,Normally closed,57.53227624401229,55.46560957734562,0.05546560957734562,0.5737303930368931
303,CPT,99.29474639892578,PSA,288.8911437988281,332,107.9662246704102,283.2947692871094,Normally closed,53.3512999650726,51.28463329840593,0.05128463329840593,0.5443369383995564
304,CPT,98.18978118896484,PSA,283.6143188476562,332,107.9662246704102,283.2947692871094,Normally closed,50.34675829224963,48.28009162558296,0.04828009162558296,0.528607696369132
305,CPT,95.71076965332031,PSA,275.9168395996094,332,107.9662246704102,283.2947692871094,Normally closed,50.65354250570464,48.58687583903797,0.04858687583903797,0.5570691462144939
306,CPT,94.7883529663086,PSA,273.2735595703125,332,107.9662246704102,283.2947692871094,Normally closed,51.17659205161226,49.10992538494559,0.04910992538494559,0.5914884745058631
