,cluster,ticker,company
349,2,PRU,Prudential Financial
350,1,PSA,Public Storage
351,2,PSX,Phillips 66
352,0,PTC,PTC
353,2,PWR,Quanta Services
354,2,PXD,Pioneer Natural Resources
355,0,PYPL,PayPal
356,2,QCOM,Qualcomm
357,2,QRVO,Qorvo
358,2,RCL,Royal Caribbean Group
359,1,REG,Regency Centers
360,0,REGN,Regeneron
361,2,RF,Regions Financial Corporation
362,2,RHI,Robert Half
363,2,RJF,Raymond James
364,2,RL,Ralph Lauren Corporation
365,0,RMD,ResMed
366,2,ROK,Rockwell Automation
367,1,ROL,"Rollins, Inc."
368,2,ROP,Roper Technologies
369,2,ROST,Ross Stores
370,1,RSG,Republic Services
371,2,RTX,RTX Corporation
372,1,SBAC,SBA Communications
373,1,SBUX,Starbucks
374,2,SCHW,Charles Schwab Corporation
375,0,SEDG,SolarEdge
376,1,SEE,Sealed Air
377,1,SHW,Sherwin-Williams
378,1,SJM,J.M. Smucker Company (The)
379,2,SLB,Schlumberger
380,2,SNA,Snap-on
381,0,SNPS,Synopsys
382,1,SO,Southern Company
383,1,SPG,Simon Property Group
384,0,SPGI,S&P Global
385,1,SRE,Sempra Energy
386,1,STE,Steris
387,2,STT,State Street Corporation
388,2,STX,Seagate Technology
389,1,STZ,Constellation Brands
390,2,SWK,Stanley Black & Decker
391,2,SWKS,Skyworks Solutions
392,2,SYF,Synchrony Financial
393,1,SYK,Stryker Corporation
394,1,SYY,Sysco
395,1,T,AT&T
396,1,TAP,Molson Coors Beverage Company
397,0,TDG,TransDigm Group
398,2,TDY,Teledyne Technologies
399,0,TECH,Bio-Techne
400,2,TEL,TE Connectivity
401,2,TER,Teradyne
402,2,TFC,Truist
403,0,TFX,Teleflex
404,1,TGT,Target Corporation
405,1,TJX,TJX Companies
406,0,TMO,Thermo Fisher Scientific
407,1,TMUS,T-Mobile US
408,2,TPR,"Tapestry, Inc."
409,2,TRMB,Trimble Inc.
410,2,TROW,T. Rowe Price
411,1,TRV,Travelers Companies (The)
412,2,TSCO,Tractor Supply
413,0,TSLA,"Tesla, Inc."
414,1,TSN,Tyson Foods
415,2,TT,Trane Technologies
416,0,TTWO,Take-Two Interactive
417,2,TXN,Texas Instruments
418,2,TXT,Textron
419,0,TYL,Tyler Technologies
420,2,UAL,United Airlines Holdings
421,1,UDR,"UDR, Inc."
422,1,UHS,Universal Health Services
423,2,ULTA,Ulta Beauty
424,1,UNH,UnitedHealth Group
425,2,UNP,Union Pacific Corporation
426,2,UPS,United Parcel Service
427,2,URI,United Rentals
428,2,USB,U.S. Bank
429,0,V,Visa Inc.
430,2,VFC,VF Corporation
431,1,VICI,Vici Properties
432,2,VLO,Valero Energy
433,2,VMC,Vulcan Materials Company
434,1,VRSK,Verisk
435,0,VRSN,Verisign
436,0,VRTX,Vertex Pharmaceuticals
437,1,VTR,Ventas
438,2,VTRS,Viatris
439,1,VZ,Verizon
440,2,WAB,Wabtec
441,2,WAT,Waters Corporation
442,2,WBA,Walgreens Boots Alliance
443,2,WBD,Warner Bros. Discovery
444,2,WDC,Western Digital
445,1,WEC,WEC Energy Group
446,1,WELL,Welltower
447,2,WFC,Wells Fargo
448,2,WHR,Whirlpool Corporation
449,1,WM,Waste Management
450,2,WMB,Williams Companies
451,1,WMT,Walmart
452,1,WRB,Berkley
453,2,WRK,WestRock
454,1,WST,West Pharmaceutical Services
455,1,WTW,Willis Towers Watson
456,1,WY,Weyerhaeuser
457,2,WYNN,Wynn Resorts
458,1,XEL,Xcel Energy
459,2,XOM,ExxonMobil
460,1,XRAY,Dentsply Sirona
461,2,XYL,Xylem Inc.
462,1,YUM,Yum! Brands
463,1,ZBH,Zimmer Biomet
464,0,ZBRA,Zebra Technologies
465,2,ZION,Zions Bancorporation
466,1,ZTS,Zoetis
